estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
0,69,8,"(100001,)","(8,)",12501,1.4736795859203373,2.0967824135056143,Compute
1,69,8,"(100001,)","(16,)",12501,1.4736795859203373,2.0967824135056143,Compute
2,69,8,"(100001,)","(32,)",12501,1.4736795859203373,2.0967824135056143,Compute
3,69,8,"(100001,)","(64,)",12501,1.4736795859203373,2.0967824135056143,Compute
4,69,8,"(100001,)","(128,)",12501,1.4736795859203373,2.0967824135056143,Compute
5,69,8,"(100001,)","(256,)",12501,1.4736795859203373,2.0967824135056143,Compute
6,69,8,"(100001,)","(512,)",12501,1.4736795859203373,2.0967824135056143,Compute
7,69,16,"(100001,)","(8,)",12501,1.4974039833073414,2.06356165293156,Compute
8,69,16,"(100001,)","(16,)",6251,1.4749281495255013,2.0950074346971257,Compute
9,69,16,"(100001,)","(32,)",6251,1.4749281495255013,2.0950074346971257,Compute
10,69,16,"(100001,)","(64,)",6251,1.4749281495255013,2.0950074346971257,Compute
11,69,16,"(100001,)","(128,)",6251,1.4749281495255013,2.0950074346971257,Compute
12,69,16,"(100001,)","(256,)",6251,1.4749281495255013,2.0950074346971257,Compute
13,69,16,"(100001,)","(512,)",6251,1.4749281495255013,2.0950074346971257,Compute
14,69,32,"(100001,)","(8,)",12501,1.544852778081349,2.0001811711389412,Compute
15,69,32,"(100001,)","(16,)",6251,1.499901199406558,2.0601259870467232,Compute
16,69,32,"(100001,)","(32,)",3126,1.4749277939699459,2.0950079397330574,Compute
17,69,32,"(100001,)","(64,)",3126,1.4749277939699459,2.0950079397330574,Compute
18,69,32,"(100001,)","(128,)",3126,1.4749277939699459,2.0950079397330574,Compute
19,69,32,"(100001,)","(256,)",3126,1.4749277939699459,2.0950079397330574,Compute
20,69,32,"(100001,)","(512,)",3126,1.4749277939699459,2.0950079397330574,Compute
21,69,8,"(100001,)","(8,)",12501,1.4736795859203373,2.0967824135056143,Compute
22,69,8,"(100001,)","(16,)",12501,1.4736795859203373,2.0967824135056143,Compute
23,69,8,"(100001,)","(32,)",12501,1.4736795859203373,2.0967824135056143,Compute
24,69,8,"(100001,)","(64,)",12501,1.4736795859203373,2.0967824135056143,Compute
