estimation_id,index,parent_index,baseline_device_type,baseline_device_idx,cli_loop_id,source_location,offload_index,offload_head,location,module,node_type,offload_elapsed_time_for_summary,offload_elapsed_time,total_time_in_hierarchy,total_time_in_hierarchy_percent,app_time,total_time_per_largest_thread,self_time_per_largest_thread,dependency_type,baseline_global_size,baseline_local_size,exe_target,why_not_offloaded,offload_device_type,offload_device_idx,offload_head_type,speed_up,offload_bounded_by,max_speed_up,offloaded_rank,non_offloaded_rank,total_est_time_accel_seconds,total_est_time_accel,total_est_time_accel_percent,total_time_on_accel,total_est_time_no_taxes,time_by_compute,time_by_dram_bw,time_by_gti_bw,time_by_llc_bw,time_by_l3_bw,time_by_global_atomic,sum_latencies,memory_latencies,atomic_latencies,non_accel_time,does_fit,is_offloaded,is_offload_candidate,total_time_in_mpi,measured_total_time_in_mpi,total_time_in_ignored,measured_total_time_in_ignored,node_position,offload_head_loc,frac_offloaded,offload_tax,data_tax,data_tax_no_reuse,data_reuse_gain,data_reuse_gain_relative,launch_tax,invoke_tax,config_tax,transfer_tax,proxy_tax,proxy_region_time,global_size,global_work_items_count,global_work_size,local_size,local_work_items_count,local_work_size,work_dim,collapsed_with_head,simd_width,global_size_error,parallel_factor,parallel_threads,parallel_threads_per_eu,unroll_factor,est_instance_count,eu_active,eu_stalled,eu_idle,thread_occupancy,data_transferred_total,data_transferred_in_total,data_transferred_out_total,data_transferred_shared,data_transferred_in,data_transferred_out,data_transferred_inout,data_transferred_private,memory_objects_info,data_transferred_total_no_reuse,data_transferred_in_total_no_reuse,data_transferred_out_total_no_reuse,average_trip_count,call_count,trip_count_total,l3_bytes,l3_read_bytes,l3_write_bytes,l3_bytes_ck,l3_read_bytes_ck,l3_write_bytes_ck,l3_total_bw,l3_read_bw,l3_write_bw,l3_total_bw_util,l3_read_bw_util,l3_write_bw_util,l3_read_time,l3_write_time,gti_bytes,gti_read_bytes,gti_write_bytes,gti_bytes_ck,gti_read_bytes_ck,gti_write_bytes_ck,gti_total_bw,gti_read_bw,gti_write_bw,gti_total_bw_util,gti_read_bw_util,gti_write_bw_util,gti_read_time,gti_write_time,llc_bytes,llc_read_bytes,llc_write_bytes,llc_bytes_ck,llc_read_bytes_ck,llc_write_bytes_ck,llc_total_bw,llc_read_bw,llc_write_bw,llc_total_bw_util,llc_read_bw_util,llc_write_bw_util,llc_read_time,llc_write_time,dram_bytes,dram_write_bytes,dram_read_bytes,dram_bytes_ck,dram_write_bytes_ck,dram_read_bytes_ck,dram_total_bw,dram_read_bw,dram_write_bw,dram_total_bw_util,dram_read_bw_util,dram_write_bw_util,dram_read_time,dram_write_time,atomic_accesses,atomic_hw_writes_per_send,atomic_repetitions,atomic_throughput_per_sc,atomic_throughput_per_ck,fpu_util,flop_per_cycle,bytes_per_iter,bytes_rd_per_iter,bytes_wr_per_iter,float_ops_per_iter,compute,compute_with_memory,vector_compute,vector_compute_with_memory,compute_others_per_iter,noncompute_others_per_iter,ABS_per_iter,Add_per_iter,DIV_per_iter,FMA_per_iter,MAX_per_iter,MIN_per_iter,Mul_per_iter,RECCP_per_iter,SAD_per_iter,SCALE_per_iter,SIGN_per_iter,SQRT_per_iter,Sub_per_iter,Mov_per_iter,Send_per_iter,ABS_impact,Add_impact,DIV_impact,FMA_impact,MAX_impact,MIN_impact,Mul_impact,RECCP_impact,SAD_impact,SCALE_impact,SIGN_impact,SQRT_impact,Sub_impact,Mov_impact,Send_impact,ABS_count,Add_count,DIV_count,FMA_count,MAX_count,MIN_count,Mul_count,RECCP_count,SAD_count,SCALE_count,SIGN_count,SQRT_count,Sub_count,Mov_count,Send_count,float32_ops,float32_op,float32_ai,float64_ops,float64_op,float64_ai,int32_ops,int32_op,int32_ai,int64_ops,int64_op,int64_ai,diagnostics,system_module,module_type,no_execution_count,internal_error,measured_offload_elapsed_time,measured_total_time_in_hierarchy,measured_app_time
,212,18446744073709551611,1,0,,,,__clone,__clone,libc.so.6,,0.02,0.02,0.02,0.6097560975609758,3.279999999999999,0.0,0.0,,,,X86,Cannot be modelled: Not User Code,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,3.279999999999999
,362,212,1,0,,,,start_thread,start_thread,libpthread.so.0,,0.02,0.02,0.02,0.6097560975609758,3.279999999999999,0.0,0.0,,,,X86,Cannot be modelled: Not User Code,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,3.279999999999999
,213,362,1,0,,,,[loop in start_thread],[loop in start_thread],libpthread.so.0,,0.02,0.02,0.02,0.6097560975609758,3.279999999999999,0.0,0.0,Parallel: Assumed,,,X86,Cannot be modelled: Not User Code,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,3.279999999999999
,233,213,1,0,,,,progress_engine,progress_engine,libopen-pal.so.40,,0.02,0.02,0.02,0.6097560975609758,3.279999999999999,0.0,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,n/a,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,1.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,3.279999999999999
2346,215,233,1,0,22,,2225,[loop in progress_engine],[loop in progress_engine],libopen-pal.so.40,,0.02,0.02,0.02,0.6097560975609758,3.279999999999999,0.0,0.0,Parallel: Assumed,,,X86,"Not profitable: Trip_Count, Latencies",,,2,0.9952300466880846,"Trip_Count, Latencies",0.9952300466880846,,0.8030487804878049,0.020095856296296295,0.020095856296296295,1.1947159727265038,0.02,0.02009081925925926,1.8118518518518518e-06,3.129791666666667e-07,1.7387731481481482e-07,1.7387731481481482e-07,7.644444444444444e-07,,8.900740740740741e-05,8.900740740740741e-05,,0.02,Yes,No,Yes,0.0,0.0,0.0,0.0,Head Node,[loop in progress_engine],0.0,5.037037037037037e-06,0.0,0.0,,,5.037037037037037e-06,5e-06,0.0,3.7037037037037036e-08,0.0,,1,1,1,8,8,8,1,,8,,8,1,1,1,1,0.02078133750931167,1.020885329157355,98.95833333333334,0.1488095238095238,159744,159744,0,159744,159744,0,0,,,,,,1.0,1.0,1.0,66048.0,52992.0,13056.0,0.5387012054874966,0.4322137578911309,0.1064874475963656,727246627.4081204,583488573.1530268,143758054.25509354,0.008417206335742134,0.006753339967048921,0.0016638663686932126,6.133333333333333e-07,1.5111111111111112e-07,15023.0,15023.0,0.0,0.12253070812195162,0.12253070812195162,0.0,165416455.9646347,165416455.9646347,0.0,0.0009572711572027471,0.0019145423144054942,0.0,1.7387731481481482e-07,0.0,15023.0,15023.0,0.0,0.12253070812195162,0.12253070812195162,0.0,165416455.9646347,165416455.9646347,0.0,0.0009572711572027471,0.0019145423144054942,0.0,1.7387731481481482e-07,0.0,15023.0,0.0,15023.0,0.12253070812195162,0.0,0.12253070812195162,165416455.9646347,165416455.9646347,0.0,0.0034461761659298896,0.0034461761659298896,0.0,3.129791666666667e-07,0.0,,,,,,0.013642480792130892,0.010105541327504363,,,,,,,,,,,0,773.0,0,0,0,0,33.0,0,0,0,0,0,401.0,0,13514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,0,0.0,13334176.141461266,1211.0,0.08060973174465819,308304.6506696247,28.0,0.0018638088264660852,Fallback implemented for dependent_iterations_distance; Calls from System Module are present,0.02,,,,0.02,0.02,3.279999999999999
,368,215,1,0,,event.c:1923,,event_base_loop,event_base_loop at event.c:1923,libevent_core-2.1.so.7,,0.02,0.02,0.02,0.6097560975609758,3.279999999999999,0.0,0.0,,,,X86,Cannot be modelled: Not a Loop,,,,,,,,,,,,0.0,,,,,,,,,,,,No,No,No,0.0,0.0,0.0,0.0,Child,[loop in progress_engine],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,34.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,3.279999999999999
2535,369,368,1,0,6,event.c:1945,2414,[loop in event_base_loop at event.c:1945],[loop in event_base_loop at event.c:1945],libevent_core-2.1.so.7,,0.02,0.02,0.02,0.6097560975609758,3.279999999999999,0.0,0.0,Parallel: Assumed,,,X86,"Not profitable: Launch_Tax, Trip_Count, Latencies",,,,0.9869945555186997,"Launch_Tax, Trip_Count, Latencies",0.9869945555186997,,,,,,0.02,,1.714074074074074e-06,2.703125e-07,1.501736111111111e-07,1.501736111111111e-07,7.088888888888889e-07,,8.524444444444445e-05,8.524444444444445e-05,,0.02,Yes,No,Yes,0.0,0.0,0.0,0.0,Child,[loop in progress_engine],0.0,0.0001765777777777778,0.0,0.0,,,0.0001765777777777778,0.00017500000000000003,0.0,1.5777777777777778e-06,0.0,,1,1,1,8,8,8,1,,8,,8,1,1,1,35,0.020532707520543352,1.0211339591461235,98.95833333333334,0.1488095238095238,245760,180224,65536,188416,122880,8192,114688,,,,,,1.0,35.0,35.0,61248.0,48896.0,12352.0,0.5217302417500043,0.4165119171337547,0.10521832461624955,704335826.3625058,562291088.1305689,142044738.2319369,0.008152035027343817,0.006507998705214917,0.0016440363221288993,5.659259259259259e-07,1.4296296296296296e-07,12975.0,12975.0,0.0,0.11052523979078999,0.11052523979078999,0.0,149209073.7175665,149209073.7175665,0.0,0.0008634784358655468,0.0017269568717310935,0.0,1.501736111111111e-07,0.0,12975.0,12975.0,0.0,0.11052523979078999,0.11052523979078999,0.0,149209073.7175665,149209073.7175665,0.0,0.0008634784358655468,0.0017269568717310935,0.0,1.501736111111111e-07,0.0,12975.0,0.0,12975.0,0.11052523979078999,0.0,0.11052523979078999,149209073.7175665,149209073.7175665,0.0,0.0031085223691159685,0.0031085223691159685,0.0,2.703125e-07,0.0,,,,,,0.01348919024822393,0.00999199277646217,,,,,,,,,,,0,21.142857142857142,0,0,0,0,0.9428571428571428,0,0,0,0,0,10.514285714285714,0,371.0285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,0,0.0,13167197.642128218,1145.0,0.0882466281310212,321992.6060957119,28.0,0.002157996146435453,Fallback implemented for dependent_iterations_distance; Calls from System Module are present,0.02,,,,0.02,0.02,3.279999999999999
2871,370,369,1,0,5,event.c:1961,2750,[loop in event_base_loop at event.c:1961],[loop in event_base_loop at event.c:1961],libevent_core-2.1.so.7,,0.02,0.02,0.02,0.6097560975609758,3.279999999999999,0.0,0.0,Parallel: Assumed,,,X86,"Not profitable: Launch_Tax, Trip_Count, Latencies",,,,0.9874907596466509,"Launch_Tax, Trip_Count, Latencies",0.9874907596466509,,,,,,0.02,,1.5318518518518518e-06,2.703125e-07,1.501736111111111e-07,1.501736111111111e-07,6.918518518518519e-07,,8.545777777777778e-05,8.545777777777778e-05,,0.02,Yes,No,Yes,0.0,0.0,0.0,0.0,Child,[loop in progress_engine],0.0,0.00016636444444444447,0.0,0.0,,,0.00016636444444444447,0.00016500000000000003,0.0,1.3644444444444444e-06,0.0,,1,1,1,8,8,8,1,,8,,8,1,1,1,33,0.018343324590982885,1.0233233420756838,98.95833333333334,0.1488095238095238,81920,45056,36864,45056,8192,0,73728,,,,,,1.0,33.0,33.0,59776.0,47488.0,12288.0,0.5090091624374127,0.40437344596205593,0.10463571647535679,687162369.2905072,545904152.0487754,141258217.24173167,0.007953268163084573,0.006318335093157124,0.0016349330699274498,5.496296296296297e-07,1.4222222222222222e-07,12975.0,12975.0,0.0,0.11048571136619095,0.11048571136619095,0.0,149155710.34435776,149155710.34435776,0.0,0.0008631696200483667,0.0017263392400967334,0.0,1.501736111111111e-07,0.0,12975.0,12975.0,0.0,0.11048571136619095,0.11048571136619095,0.0,149155710.34435776,149155710.34435776,0.0,0.0008631696200483667,0.0017263392400967334,0.0,1.501736111111111e-07,0.0,12975.0,0.0,12975.0,0.11048571136619095,0.0,0.11048571136619095,149155710.34435776,149155710.34435776,0.0,0.0031074106321741205,0.0031074106321741205,0.0,2.703125e-07,0.0,,,,,,0.01207040430532375,0.008941040226165741,,,,,,,,,,,0,20.696969696969695,0,0,0,0,1.0,0,0,0,0,0,9.151515151515152,0,341.57575757575756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,0,0.0,11748526.857181784,1022.0,0.07876685934489402,321877.44814196666,28.0,0.002157996146435453,Fallback implemented for dependent_iterations_distance; Calls from System Module are present,0.02,,,,0.02,0.02,3.279999999999999
3207,371,370,1,0,4,event.c:1961,3086,[loop in event_base_loop at event.c:1961],[loop in event_base_loop at event.c:1961],libevent_core-2.1.so.7,,0.02,0.02,0.02,0.6097560975609758,3.279999999999999,0.0,0.0,Parallel: Assumed,,,X86,"Not profitable: Trip_Count, Latencies",,,,0.9954150445702616,"Trip_Count, Latencies",0.9954150445702616,,,,,,0.02,,1.3496296296296296e-06,2.703125e-07,1.501736111111111e-07,1.501736111111111e-07,6.918518518518519e-07,,7.943111111111112e-05,7.943111111111112e-05,,0.02,Yes,No,Yes,0.0,0.0,0.0,0.0,Child,[loop in progress_engine],0.0,1.1340740740740742e-05,0.0,0.0,,,1.1340740740740742e-05,1e-05,0.0,1.3407407407407408e-06,0.0,,1,1,1,8,8,8,1,,8,,8,1,1,1,2,0.017403457614270604,1.024263209052396,98.95833333333334,0.1488095238095238,266240,188416,77824,188416,110592,0,155648,,,,,,1.0,2.0,2.0,59776.0,47488.0,12288.0,0.5481321180332679,0.43545399526839906,0.11267812276486877,739978359.3449116,587862893.6123388,152115465.73257282,0.008564564344269809,0.006803968676068736,0.0017605956682010743,5.496296296296297e-07,1.4222222222222222e-07,12975.0,12975.0,0.0,0.11897775414015073,0.11897775414015073,0.0,160619968.08920348,160619968.08920348,0.0,0.0009295137042199276,0.0018590274084398551,0.0,1.501736111111111e-07,0.0,12975.0,12975.0,0.0,0.11897775414015073,0.11897775414015073,0.0,160619968.08920348,160619968.08920348,0.0,0.0009295137042199276,0.0018590274084398551,0.0,1.501736111111111e-07,0.0,12975.0,0.0,12975.0,0.11897775414015073,0.0,0.11897775414015073,160619968.08920348,160619968.08920348,0.0,0.0033462493351917393,0.0033462493351917393,0.0,2.703125e-07,0.0,,,,,,0.011475507546719972,0.008500375960533312,,,,,,,,,,,0,313.0,0,0,0,0,16.5,0,0,0,0,0,118.0,0,4878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,0,0.0,11128890.274542885,899.0,0.06928709055876686,346617.2721770865,28.0,0.002157996146435453,Fallback implemented for dependent_iterations_distance; Calls from System Module are present,0.02,,,,0.02,0.02,3.279999999999999
3396,372,371,1,0,3,event.c:1961,3275,[loop in event_base_loop at event.c:1961],[loop in event_base_loop at event.c:1961],libevent_core-2.1.so.7,,0.02,0.02,0.02,0.6097560975609758,3.279999999999999,0.0,0.0,Parallel: Assumed,,,X86,"Not profitable: Launch_Tax, Trip_Count, Latencies",,,,0.9790264966631875,"Launch_Tax, Trip_Count, Latencies",0.9790264966631875,,,,,,0.02,,1.1674074074074075e-06,2.703125e-07,1.501736111111111e-07,1.501736111111111e-07,6.918518518518519e-07,,8.096000000000001e-05,8.096000000000001e-05,,0.02,Yes,No,Yes,0.0,0.0,0.0,0.0,Child,[loop in progress_engine],0.0,0.00034632888888888895,0.0,0.0,,,0.00034632888888888895,0.00034500000000000004,0.0,1.328888888888889e-06,0.0,,1,1,1,8,8,8,1,,8,,8,1,1,1,69,0.01480686437212882,1.0268598022945379,98.95833333333334,0.1488095238095238,16384,8192,8192,8192,0,0,16384,,,,,,1.0,69.0,69.0,59776.0,47488.0,12288.0,0.539144238401039,0.42831373114943355,0.11083050725160544,727844721.8414025,578223537.0517353,149621184.78966734,0.008424128725016234,0.006692402049209899,0.001731726675806335,5.496296296296297e-07,1.4222222222222222e-07,12975.0,12975.0,0.0,0.11702684176347498,0.11702684176347498,0.0,157986236.38069123,157986236.38069123,0.0,0.0009142722012771482,0.0018285444025542964,0.0,1.501736111111111e-07,0.0,12975.0,12975.0,0.0,0.11702684176347498,0.11702684176347498,0.0,157986236.38069123,157986236.38069123,0.0,0.0009142722012771482,0.0018285444025542964,0.0,1.501736111111111e-07,0.0,12975.0,0.0,12975.0,0.11702684176347498,0.0,0.11702684176347498,157986236.38069123,157986236.38069123,0.0,0.003291379924597734,0.003291379924597734,0.0,2.703125e-07,0.0,,,,,,0.009789667364167687,0.007251605454939027,,,,,,,,,,,0,8.246376811594203,0,0,0,0,0.4782608695652174,0,0,0,0,0,2.463768115942029,0,119.42028985507245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,0,0.0,9448733.674868315,776.0,0.05980732177263969,340933.6892993722,28.0,0.002157996146435453,Fallback implemented for dependent_iterations_distance; Calls from System Module are present,0.02,,,,0.02,0.02,3.279999999999999
