estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
0,359,8,"(100000,)","(8,)",12500,0.037238202435985183,365.75342280319904,Compute
1,359,8,"(100000, 816)","(1, 8)",10200000,0.03903809424697063,348.8899820220328,Compute
2,359,8,"(100000,)","(16,)",12500,0.037238202435985183,365.75342280319904,Compute
3,359,8,"(100000, 816)","(1, 16)",10200000,0.03903809424697063,348.8899820220328,Compute
4,359,8,"(100000,)","(32,)",12500,0.037238202435985183,365.75342280319904,Compute
5,359,8,"(100000, 816)","(1, 32)",10200000,0.03903809424697063,348.8899820220328,Compute
6,359,8,"(100000,)","(64,)",12500,0.037238202435985183,365.75342280319904,Compute
7,359,8,"(100000, 816)","(1, 64)",10200000,0.03903809424697063,348.8899820220328,Compute
8,359,8,"(100000,)","(128,)",12500,0.037238202435985183,365.75342280319904,Compute
9,359,8,"(100000, 816)","(1, 128)",10200000,0.03903809424697063,348.8899820220328,Compute
10,359,8,"(100000,)","(256,)",12500,0.037238202435985183,365.75342280319904,Compute
11,359,8,"(100000, 816)","(1, 256)",10200000,0.03903809424697063,348.8899820220328,Compute
12,359,8,"(100000,)","(512,)",12500,0.037238202435985183,365.75342280319904,Compute
13,359,8,"(100000, 816)","(1, 512)",10200000,0.03903809424697063,348.8899820220328,Compute
14,359,8,"(100000, 816)","(2, 4)",10200000,0.03903809424697063,348.8899820220328,Compute
15,359,8,"(100000, 816)","(2, 8)",10200000,0.03903809424697063,348.8899820220328,Compute
16,359,8,"(100000, 816)","(2, 16)",10200000,0.03903809424697063,348.8899820220328,Compute
17,359,8,"(100000, 816)","(2, 32)",10200000,0.03903809424697063,348.8899820220328,Compute
18,359,8,"(100000, 816)","(2, 64)",10200000,0.03903809424697063,348.8899820220328,Compute
19,359,8,"(100000, 816)","(2, 128)",10200000,0.03903809424697063,348.8899820220328,Compute
20,359,8,"(100000, 816)","(2, 256)",10200000,0.03903809424697063,348.8899820220328,Compute
21,359,8,"(100000, 816)","(4, 2)",10200000,0.03903809424697063,348.8899820220328,Compute
22,359,8,"(100000, 816)","(4, 4)",10200000,0.03903809424697063,348.8899820220328,Compute
23,359,8,"(100000, 816)","(4, 8)",10200000,0.03903809424697063,348.8899820220328,Compute
24,359,8,"(100000, 816)","(4, 16)",10200000,0.03903809424697063,348.8899820220328,Compute
25,359,8,"(100000, 816)","(4, 32)",10200000,0.03903809424697063,348.8899820220328,Compute
26,359,8,"(100000, 816)","(4, 64)",10200000,0.03903809424697063,348.8899820220328,Compute
27,359,8,"(100000, 816)","(4, 128)",10200000,0.03903809424697063,348.8899820220328,Compute
28,359,8,"(100000, 816)","(8, 1)",10200000,0.03903809424697063,348.8899820220328,Compute
29,359,8,"(100000, 816)","(8, 2)",10200000,0.03903809424697063,348.8899820220328,Compute
30,359,8,"(100000, 816)","(8, 4)",10200000,0.03903809424697063,348.8899820220328,Compute
31,359,8,"(100000, 816)","(8, 8)",10200000,0.03903809424697063,348.8899820220328,Compute
32,359,8,"(100000, 816)","(8, 16)",10200000,0.03903809424697063,348.8899820220328,Compute
33,359,8,"(100000, 816)","(8, 32)",10200000,0.03903809424697063,348.8899820220328,Compute
34,359,8,"(100000, 816)","(8, 64)",10200000,0.03903809424697063,348.8899820220328,Compute
35,359,8,"(100000, 816)","(16, 1)",10200000,0.03903809424697063,348.8899820220328,Compute
36,359,8,"(100000, 816)","(16, 2)",10200000,0.03903809424697063,348.8899820220328,Compute
37,359,8,"(100000, 816)","(16, 4)",10200000,0.03903809424697063,348.8899820220328,Compute
38,359,8,"(100000, 816)","(16, 8)",10200000,0.03903809424697063,348.8899820220328,Compute
39,359,8,"(100000, 816)","(16, 16)",10200000,0.03903809424697063,348.8899820220328,Compute
40,359,8,"(100000, 816)","(16, 32)",10200000,0.03903809424697063,348.8899820220328,Compute
41,359,8,"(100000, 816)","(32, 1)",10200000,0.03903809424697063,348.8899820220328,Compute
42,359,8,"(100000, 816)","(32, 2)",10200000,0.03903809424697063,348.8899820220328,Compute
43,359,8,"(100000, 816)","(32, 4)",10200000,0.03903809424697063,348.8899820220328,Compute
44,359,8,"(100000, 816)","(32, 8)",10200000,0.03903809424697063,348.8899820220328,Compute
45,359,8,"(100000, 816)","(32, 16)",10200000,0.03903809424697063,348.8899820220328,Compute
46,359,8,"(100000, 816)","(64, 1)",10200000,0.03903809424697063,348.8899820220328,Compute
47,359,8,"(100000, 816)","(64, 2)",10200000,0.03903809424697063,348.8899820220328,Compute
48,359,8,"(100000, 816)","(64, 4)",10200000,0.03903809424697063,348.8899820220328,Compute
