region_id,estimation_id,level_name,traffic,read_traffic,write_traffic,bandwidth,read_bandwidth,write_bandwidth,bandwidth_utilization,read_bandwidth_utilization,write_bandwidth_utilization,traffic_defined_time,traffic_defined_read_time,traffic_defined_write_time,bytes_ck,read_bytes_ck,write_bytes_ck
359,0,l3,5655472256.0,3796772992.0,1858699264.0,162300895749.52585,108959894004.51006,53341001745.0158,0.31308043161559773,0.2101849807185765,0.10289545089702122,0.010909475802469136,0.007324021975308642,0.003585453827160494,120.22288574038951,80.71103259593337,39.51185314445615
359,0,gti,404823.0000001194,404823.0000000002,1.1920928955078125e-07,11617621.402054258,11617621.402050838,3.421071415429536e-06,3.361580266798107e-05,6.723160533594235e-05,1.979786698743944e-17,2.3427256944444457e-06,2.3427256944444457e-06,6.898685737892433e-19,0.008605645483003155,0.00860564548300062,2.5341269743922487e-15
359,0,llc,404823.0000001194,404823.0000000002,1.1920928955078125e-07,11617621.402054258,11617621.402050838,3.421071415429536e-06,3.361580266798107e-05,6.723160533594235e-05,1.979786698743944e-17,2.3427256944444457e-06,2.3427256944444457e-06,6.898685737892433e-19,0.008605645483003155,0.00860564548300062,2.5341269743922487e-15
359,0,dram,404823.0,404823.0,0.0,11617621.402050832,11617621.402050832,0.0,0.00024203377920939233,0.00024203377920939233,0.0,8.4338125e-06,8.4338125e-06,0.0,0.008605645483000617,0.008605645483000617,0.0
5,0,l3,5645128448.0,3790433344.0,1854695104.0,162004048867.80347,108777958614.75633,53226090253.04712,0.31250781031597885,0.20983402510562565,0.10267378521035324,0.010889522469135802,0.007311792716049383,0.0035777297530864196,120.0029991613359,80.57626564056025,39.42673352077564
5,0,gti,4780.000000119215,4780.0000000000055,1.1920928955078125e-07,137176.56927394928,137176.5692705282,3.421071415429536e-06,3.969229435010107e-07,7.938458869822235e-07,1.979786698743944e-17,2.766203703703707e-08,2.766203703703707e-08,6.898685737892433e-19,0.00010161227353625872,0.0001016122735337246,2.5341269743922487e-15
5,0,llc,4780.000000119215,4780.0000000000055,1.1920928955078125e-07,137176.56927394928,137176.5692705282,3.421071415429536e-06,3.969229435010107e-07,7.938458869822235e-07,1.979786698743944e-17,2.766203703703707e-08,2.766203703703707e-08,6.898685737892433e-19,0.00010161227353625872,0.0001016122735337246,2.5341269743922487e-15
5,0,dram,4780.0,4780.0,0.0,137176.56927052807,137176.56927052807,0.0,2.857845193136001e-06,2.857845193136001e-06,0.0,9.958333333333333e-08,9.958333333333333e-08,0.0,0.00010161227353372448,0.00010161227353372448,0.0
313,0,l3,42552320.0,21276160.0,21276160.0,1221167630.1467943,610583815.0733972,610583815.0733972,0.002355647434696748,0.001177823717348374,0.001177823717348374,8.208395061728395e-05,4.1041975308641976e-05,4.1041975308641976e-05,0.9045686149235512,0.4522843074617756,0.4522843074617756
313,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,0,l3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,0,gti,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,0,llc,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,0,dram,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,l3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,gti,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,llc,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,dram,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,l3,5517380096.0,3726559168.0,1790820928.0,158337923207.27545,106944895784.49234,51393027422.78313,0.3054358086560098,0.2062980242756411,0.09913778438036867,0.010643094320987654,0.007188578641975309,0.0034545156790123455,117.28735052390775,79.21844132184619,38.068909202061576
6,0,gti,4780.000000119215,4780.0000000000055,1.1920928955078125e-07,137176.56927394928,137176.5692705282,3.421071415429536e-06,3.969229435010107e-07,7.938458869822235e-07,1.979786698743944e-17,2.766203703703707e-08,2.766203703703707e-08,6.898685737892433e-19,0.00010161227353625872,0.0001016122735337246,2.5341269743922487e-15
6,0,llc,4780.000000119215,4780.0000000000055,1.1920928955078125e-07,137176.56927394928,137176.5692705282,3.421071415429536e-06,3.969229435010107e-07,7.938458869822235e-07,1.979786698743944e-17,2.766203703703707e-08,2.766203703703707e-08,6.898685737892433e-19,0.00010161227353625872,0.0001016122735337246,2.5341269743922487e-15
6,0,dram,4780.0,4780.0,0.0,137176.56927052807,137176.56927052807,0.0,2.857845193136001e-06,2.857845193136001e-06,0.0,9.958333333333333e-08,9.958333333333333e-08,0.0,0.00010161227353372448,0.00010161227353372448,0.0
164,0,l3,64.0,64.0,0.0,1836.6737308187858,1836.6737308187858,0.0,3.5429663017337684e-09,3.5429663017337684e-09,0.0,1.2345679012345679e-10,1.2345679012345679e-10,0.0,1.3604990598657672e-06,1.3604990598657672e-06,0.0
164,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,0,l3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,l3,5432208128.0,3683973056.0,1748235072.0,155893655766.21704,105722758390.61568,50170897375.60138,0.3007207865860669,0.20394050615473702,0.09678028043132982,0.010478796543209877,0.00710642950617284,0.003372367037037037,115.47678204904967,78.31315436341902,37.16362768563065
7,0,gti,4097.000000119215,4097.0000000000055,1.1920928955078125e-07,117575.81680286756,117575.81679944649,3.421071415429536e-06,3.402078032490381e-07,6.804156064782783e-07,1.979786698743944e-17,2.3709490740740773e-08,2.3709490740740773e-08,6.898685737892433e-19,8.709319763175375e-05,8.709319762921962e-05,2.5341269743922487e-15
7,0,llc,4097.000000119215,4097.0000000000055,1.1920928955078125e-07,117575.81680286756,117575.81679944649,3.421071415429536e-06,3.402078032490381e-07,6.804156064782783e-07,1.979786698743944e-17,2.3709490740740773e-08,2.3709490740740773e-08,6.898685737892433e-19,8.709319763175375e-05,8.709319762921962e-05,2.5341269743922487e-15
7,0,dram,4097.0,4097.0,0.0,117575.81679944633,117575.81679944633,0.0,2.4494961833217987e-06,2.4494961833217987e-06,0.0,8.535416666666667e-08,8.535416666666667e-08,0.0,8.70931976292195e-05,8.70931976292195e-05,0.0
361,0,l3,5432208128.0,3683973056.0,1748235072.0,155893655766.21704,105722758390.61568,50170897375.60138,0.3007207865860669,0.20394050615473702,0.09678028043132982,0.010478796543209877,0.00710642950617284,0.003372367037037037,115.47678204904967,78.31315436341902,37.16362768563065
361,0,gti,4097.000000119215,4097.0000000000055,1.1920928955078125e-07,117575.81680286756,117575.81679944649,3.421071415429536e-06,3.402078032490381e-07,6.804156064782783e-07,1.979786698743944e-17,2.3709490740740773e-08,2.3709490740740773e-08,6.898685737892433e-19,8.709319763175375e-05,8.709319762921962e-05,2.5341269743922487e-15
361,0,llc,4097.000000119215,4097.0000000000055,1.1920928955078125e-07,117575.81680286756,117575.81679944649,3.421071415429536e-06,3.402078032490381e-07,6.804156064782783e-07,1.979786698743944e-17,2.3709490740740773e-08,2.3709490740740773e-08,6.898685737892433e-19,8.709319763175375e-05,8.709319762921962e-05,2.5341269743922487e-15
361,0,dram,4097.0,4097.0,0.0,117575.81679944633,117575.81679944633,0.0,2.4494961833217987e-06,2.4494961833217987e-06,0.0,8.535416666666667e-08,8.535416666666667e-08,0.0,8.70931976292195e-05,8.70931976292195e-05,0.0
284,0,l3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,0,l3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0,l3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,0,l3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,0,gti,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,0,llc,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,0,dram,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,l3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,gti,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,llc,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,dram,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,l3,5389630400.0,3662684160.0,1726946240.0,154671758976.59912,105111809077.46985,49559949899.12928,0.2983637325937483,0.20276197738709462,0.0956017552066537,0.010396663580246913,0.007065362962962963,0.0033313006172839507,114.57167331599935,77.86059931664433,36.71107399935502
8,0,gti,3414.0000001192143,3414.000000000005,1.1920928955078125e-07,97975.06433178582,97975.06432836474,3.421071415429536e-06,2.8349266299706543e-07,5.66985325974333e-07,1.979786698743944e-17,1.9756944444444472e-08,1.9756944444444472e-08,6.898685737892433e-19,7.257412172724875e-05,7.257412172471462e-05,2.5341269743922487e-15
8,0,llc,3414.0000001192143,3414.000000000005,1.1920928955078125e-07,97975.06433178582,97975.06432836474,3.421071415429536e-06,2.8349266299706543e-07,5.66985325974333e-07,1.979786698743944e-17,1.9756944444444472e-08,1.9756944444444472e-08,6.898685737892433e-19,7.257412172724875e-05,7.257412172471462e-05,2.5341269743922487e-15
8,0,dram,3414.0,3414.0,0.0,97975.06432836459,97975.06432836459,0.0,2.0411471735075957e-06,2.0411471735075957e-06,0.0,7.1125e-08,7.1125e-08,0.0,7.257412172471452e-05,7.257412172471452e-05,0.0
9,0,l3,5347084608.0,3641411264.0,1705673344.0,153450778687.17288,104501318932.75671,48949459754.41615,0.29600844654161435,0.20158433436102763,0.09442411218058673,0.010314592222222222,0.007024327283950618,0.003290264938271605,113.6672434719799,77.40838439463461,36.2588590773453
9,0,gti,3414.0000001192143,3414.000000000005,1.1920928955078125e-07,97975.06433178582,97975.06432836474,3.421071415429536e-06,2.8349266299706543e-07,5.66985325974333e-07,1.979786698743944e-17,1.9756944444444472e-08,1.9756944444444472e-08,6.898685737892433e-19,7.257412172724875e-05,7.257412172471462e-05,2.5341269743922487e-15
9,0,llc,3414.0000001192143,3414.000000000005,1.1920928955078125e-07,97975.06433178582,97975.06432836474,3.421071415429536e-06,2.8349266299706543e-07,5.66985325974333e-07,1.979786698743944e-17,1.9756944444444472e-08,1.9756944444444472e-08,6.898685737892433e-19,7.257412172724875e-05,7.257412172471462e-05,2.5341269743922487e-15
9,0,dram,3414.0,3414.0,0.0,97975.06432836459,97975.06432836459,0.0,2.0411471735075957e-06,2.0411471735075957e-06,0.0,7.1125e-08,7.1125e-08,0.0,7.257412172471452e-05,7.257412172471452e-05,0.0
355,0,l3,5347084608.0,3641411264.0,1705673344.0,153450778687.17288,104501318932.75671,48949459754.41615,0.29600844654161435,0.20158433436102763,0.09442411218058673,0.010314592222222222,0.007024327283950618,0.003290264938271605,113.6672434719799,77.40838439463461,36.2588590773453
355,0,gti,3414.0000001192143,3414.000000000005,1.1920928955078125e-07,97975.06433178582,97975.06432836474,3.421071415429536e-06,2.8349266299706543e-07,5.66985325974333e-07,1.979786698743944e-17,1.9756944444444472e-08,1.9756944444444472e-08,6.898685737892433e-19,7.257412172724875e-05,7.257412172471462e-05,2.5341269743922487e-15
355,0,llc,3414.0000001192143,3414.000000000005,1.1920928955078125e-07,97975.06433178582,97975.06432836474,3.421071415429536e-06,2.8349266299706543e-07,5.66985325974333e-07,1.979786698743944e-17,1.9756944444444472e-08,1.9756944444444472e-08,6.898685737892433e-19,7.257412172724875e-05,7.257412172471462e-05,2.5341269743922487e-15
355,0,dram,3414.0,3414.0,0.0,97975.06432836459,97975.06432836459,0.0,2.0411471735075957e-06,2.0411471735075957e-06,0.0,7.1125e-08,7.1125e-08,0.0,7.257412172471452e-05,7.257412172471452e-05,0.0
10,0,l3,5261897728.0,3598817728.0,1663080000.0,151006083301.1352,103278968484.72728,47727114816.407906,0.2912925989605231,0.19922640525603255,0.09206619370449055,0.010150265679012345,0.006942163827160494,0.0032081018518518517,111.85635800084088,76.5029396183165,35.353418382524374
10,0,gti,3414.0000001192143,3414.000000000005,1.1920928955078125e-07,97975.06433178582,97975.06432836474,3.421071415429536e-06,2.8349266299706543e-07,5.66985325974333e-07,1.979786698743944e-17,1.9756944444444472e-08,1.9756944444444472e-08,6.898685737892433e-19,7.257412172724875e-05,7.257412172471462e-05,2.5341269743922487e-15
10,0,llc,3414.0000001192143,3414.000000000005,1.1920928955078125e-07,97975.06433178582,97975.06432836474,3.421071415429536e-06,2.8349266299706543e-07,5.66985325974333e-07,1.979786698743944e-17,1.9756944444444472e-08,1.9756944444444472e-08,6.898685737892433e-19,7.257412172724875e-05,7.257412172471462e-05,2.5341269743922487e-15
10,0,dram,3414.0,3414.0,0.0,97975.06432836459,97975.06432836459,0.0,2.0411471735075957e-06,2.0411471735075957e-06,0.0,7.1125e-08,7.1125e-08,0.0,7.257412172471452e-05,7.257412172471452e-05,0.0
269,0,l3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,0,gti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,0,llc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,0,dram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,l3,5176692224.0,3556214976.0,1620477248.0,148560853443.04184,102056353555.6806,46504499887.36123,0.28657572037623813,0.19686796596389006,0.08970775441234805,0.009985903209876544,0.006859982592592593,0.0031259206172839504,110.04507662447543,75.59729893013377,34.44777769434165
11,0,gti,3414.0000001192143,3414.000000000005,1.1920928955078125e-07,97975.06433178582,97975.06432836474,3.421071415429536e-06,2.8349266299706543e-07,5.66985325974333e-07,1.979786698743944e-17,1.9756944444444472e-08,1.9756944444444472e-08,6.898685737892433e-19,7.257412172724875e-05,7.257412172471462e-05,2.5341269743922487e-15
11,0,llc,3414.0000001192143,3414.000000000005,1.1920928955078125e-07,97975.06433178582,97975.06432836474,3.421071415429536e-06,2.8349266299706543e-07,5.66985325974333e-07,1.979786698743944e-17,1.9756944444444472e-08,1.9756944444444472e-08,6.898685737892433e-19,7.257412172724875e-05,7.257412172471462e-05,2.5341269743922487e-15
11,0,dram,3414.0,3414.0,0.0,97975.06432836459,97975.06432836459,0.0,2.0411471735075957e-06,2.0411471735075957e-06,0.0,7.1125e-08,7.1125e-08,0.0,7.257412172471452e-05,7.257412172471452e-05,0.0
370,0,l3,2452147008.0,1894921088.0,557225920.0,70371781151.55441,54380496629.75238,15991284521.802034,0.13574803462877008,0.10490064936294827,0.030847385265821824,0.004730221851851852,0.003655326172839506,0.0010748956790123457,52.127245297447715,40.28184935537214,11.84539594207558
370,0,gti,3414.000000000005,3414.000000000005,0.0,97975.06432836474,97975.06432836474,0.0,2.834926629871665e-07,5.66985325974333e-07,0.0,1.9756944444444472e-08,1.9756944444444472e-08,0.0,7.257412172471462e-05,7.257412172471462e-05,0.0
370,0,llc,3414.000000000005,3414.000000000005,0.0,97975.06432836474,97975.06432836474,0.0,2.834926629871665e-07,5.66985325974333e-07,0.0,1.9756944444444472e-08,1.9756944444444472e-08,0.0,7.257412172471462e-05,7.257412172471462e-05,0.0
370,0,dram,3414.0,3414.0,0.0,97975.06432836459,97975.06432836459,0.0,2.0411471735075957e-06,2.0411471735075957e-06,0.0,7.1125e-08,7.1125e-08,0.0,7.257412172471452e-05,7.257412172471452e-05,0.0
340,0,l3,898586752.0,788224512.0,110362240.0,25787666910.31523,22620488362.15401,3167178548.161222,0.04974472783625623,0.04363520131588351,0.006109526520372728,0.0017333849382716049,0.0015204948148148149,0.00021289012345679012,19.101975489122395,16.755917305299267,2.3460581838231276
340,0,gti,2731.0000000000036,2731.0000000000036,0.0,78374.31185728297,78374.31185728297,0.0,2.2677752273519377e-07,4.5355504547038754e-07,0.0,1.580439814814817e-08,1.580439814814817e-08,0.0,5.805504582020961e-05,5.805504582020961e-05,0.0
340,0,llc,2731.0000000000036,2731.0000000000036,0.0,78374.31185728297,78374.31185728297,0.0,2.2677752273519377e-07,4.5355504547038754e-07,0.0,1.580439814814817e-08,1.580439814814817e-08,0.0,5.805504582020961e-05,5.805504582020961e-05,0.0
340,0,dram,2731.0,2731.0,0.0,78374.31185728287,78374.31185728287,0.0,1.632798163693393e-06,1.632798163693393e-06,0.0,5.689583333333333e-08,5.689583333333333e-08,0.0,5.805504582020953e-05,5.805504582020953e-05,0.0
349,0,l3,1447125888.0,1042868800.0,404257088.0,41529657869.9595,29928277025.78922,11601380844.170284,0.08011122274297743,0.057732015867648964,0.02237920687532848,0.0027915237037037036,0.002011706790123457,0.000779816913580247,30.762709533303337,22.1690940931772,8.593615440126136
349,0,gti,683.0000000000015,683.0000000000015,0.0,19600.75247108177,19600.75247108177,0.0,5.6715140251972714e-08,1.1343028050394543e-07,0.0,3.952546296296305e-09,3.952546296296305e-09,0.0,1.4519075904505015e-05,1.4519075904505015e-05,0.0
349,0,llc,683.0000000000015,683.0000000000015,0.0,19600.75247108177,19600.75247108177,0.0,5.6715140251972714e-08,1.1343028050394543e-07,0.0,3.952546296296305e-09,3.952546296296305e-09,0.0,1.4519075904505015e-05,1.4519075904505015e-05,0.0
349,0,dram,683.0,683.0,0.0,19600.752471081727,19600.752471081727,0.0,4.0834900981420267e-07,4.0834900981420267e-07,0.0,1.4229166666666666e-08,1.4229166666666666e-08,0.0,1.4519075904504984e-05,1.4519075904504984e-05,0.0
