region_id,estimation_id,data_type,operations_per_second,operations_count,arithmetic_intensity
359,0,int32,34896187149.55056,1215978614.0,3003.729071717763
359,0,int64,0.0,0,0.0
359,0,float32,67893697132.04642,2365796681.0,5844.02734281402
359,0,float64,20006180404.38321,697127380.0,1722.0547745557935
5,0,int32,34893317346.84616,1215878614.0,3003.482050179955
5,0,int64,0.0,0,0.0
5,0,float32,67889017258.68226,2365633608.0,5843.624517381671
5,0,float64,20003310601.678802,697027380.0,1721.8077530179855
313,0,int32,0.0,0,0.0
313,0,int64,0.0,0,0.0
313,0,float32,0.0,0,0.0
313,0,float64,0.0,0,0.0
346,0,int32,0.0,0,0.0
346,0,int64,0.0,0,0.0
346,0,float32,0.0,0,0.0
346,0,float64,2340510613.919509,81556499.0,201.46211801206948
14,0,int32,0.0,0,0.0
14,0,int64,0.0,0,0.0
14,0,float32,0.0,0,0.0
14,0,float64,2340510613.919509,81556499.0,201.46211801206948
6,0,int32,32553866464.971306,1134359042.0,2802.1111498111522
6,0,int64,0.0,0,0.0
6,0,float32,56186464189.08472,1957851113.0,4836.313927321323
6,0,float64,5960246918.161752,207688386.00000003,513.0350449455689
164,0,int32,2340510613.919509,81556499.0,201.46211801206948
164,0,int64,0.0,0,0.0
164,0,float32,0.0,0,0.0
164,0,float64,0.0,0,0.0
264,0,int32,0.0,0,0.0
264,0,int64,0.0,0,0.0
264,0,float32,0.0,0,0.0
264,0,float64,0.0,0,0.0
7,0,int32,25532334623.21278,889689545.0,2197.7247957749437
7,0,int64,0.0,0,0.0
7,0,float32,56186464189.08472,1957851113.0,4836.313927321323
7,0,float64,5960246918.161752,207688386.00000003,513.0350449455689
361,0,int32,23191824009.29327,808133046.0,1996.262677762874
361,0,int64,0.0,0,0.0
361,0,float32,56186464189.08472,1957851113.0,4836.313927321323
361,0,float64,5960246918.161752,207688386.00000003,513.0350449455689
284,0,int32,0.0,0,0.0
284,0,int64,0.0,0,0.0
284,0,float32,0.0,0,0.0
284,0,float64,0.0,0,0.0
263,0,int32,0.0,0,0.0
263,0,int64,0.0,0,0.0
263,0,float32,0.0,0,0.0
263,0,float64,0.0,0,0.0
109,0,int32,0.0,0,0.0
109,0,int64,0.0,0,0.0
109,0,float32,0.0,0,0.0
109,0,float64,0.0,0,0.0
303,0,int32,0.0,0,0.0
303,0,int64,0.0,0,0.0
303,0,float32,2340510613.919509,81556499.0,201.46211801206948
303,0,float64,0.0,0,0.0
19,0,int32,0.0,0,0.0
19,0,int64,0.0,0,0.0
19,0,float32,2340510613.919509,81556499.0,201.46211801206948
19,0,float64,0.0,0,0.0
8,0,int32,20851313395.37376,726576547.0,1794.8005597508047
8,0,int64,0.0,0,0.0
8,0,float32,37462379277.728645,1305399121.0,3224.6169832247674
8,0,float64,5960246918.161752,207688386.00000003,513.0350449455689
9,0,int32,20851313395.37376,726576547.0,1794.8005597508047
9,0,int64,0.0,0,0.0
9,0,float32,14900617295.404377,519220965.0,1282.587612363922
9,0,float64,0.0,0,0.0
355,0,int32,17871189936.292885,622732354.0,1538.2830372780202
355,0,int64,0.0,0,0.0
355,0,float32,14900617295.404377,519220965.0,1282.587612363922
355,0,float64,0.0,0,0.0
10,0,int32,14891066477.212011,518888161.0,1281.7655148052359
10,0,int64,0.0,0,0.0
10,0,float32,8940370377.242626,311532579.0,769.5525674183532
10,0,float64,0.0,0,0.0
269,0,int32,0.0,0,0.0
269,0,int64,0.0,0,0.0
269,0,float32,0.0,0,0.0
269,0,float64,0.0,0,0.0
11,0,int32,8930819559.05026,311199775.0,768.7304698596671
11,0,int64,0.0,0,0.0
11,0,float32,0.0,0,0.0
11,0,float64,0.0,0,0.0
370,0,int32,5950696099.969385,207355582.0,512.2129473868827
370,0,int64,0.0,0,0.0
370,0,float32,0.0,0,0.0
370,0,float64,0.0,0,0.0
340,0,int32,2168231163.2312207,75553318.0,186.63296798847892
340,0,int64,0.0,0,0.0
340,0,float32,0.0,0,0.0
340,0,float64,0.0,0,0.0
349,0,int32,3782464936.7381644,131802264.0,325.57997939840374
349,0,int64,0.0,0,0.0
349,0,float32,0.0,0,0.0
349,0,float64,0.0,0,0.0
